date,ndvi,evi,red,nir,blue,mir
2001-02-20,0.462427363481723,0.311468097169514,0.105724165720738,0.290319002761205,0.0745369829577744,0.165140392344011
2001-02-25,0.47125355746184183,0.3166962192844462,0.10232763667644283,0.2862547222377701,0.07214226078879223,0.16360998446659547
2001-03-03,0.4972289300185806,0.34102884775668374,0.09662078043423508,0.29245070057858347,0.0682655583727576,0.15870292458399596
2001-03-09,0.5369907259096383,0.38046439139402516,0.08924651776801391,0.30722744777757144,0.06323956827324381,0.15087062580076602
2001-03-15,0.5867214167544808,0.43047036469167754,0.08087479447887254,0.32855068088668127,0.05742141789650735,0.1406675360099526
2001-03-21,0.6414169658432533,0.48513635909404146,0.07223198710798212,0.35343613807482027,0.05122663756078658,0.12892811253905226
2001-03-26,0.6959045710106386,0.538399876868478,0.06396902405167029,0.37862086601586503,0.04504742027908625,0.11659348191541159
2001-04-01,0.7453138462468007,0.5846347775737952,0.05661391250352754,0.4009111936295438,0.03922135911747632,0.10463090866781981
2001-04-07,0.7854351361685876,0.6191045872515706,0.05054659534620658,0.4174709580497008,0.03401267167553239,0.09396835658787607
2001-04-13,0.8131434223858617,0.6384977615490575,0.04598052737152547,0.426182858359981,0.02959492395872,0.08541021636094934
2001-04-19,0.82659042681737,0.6411661464499067,0.04298589353564932,0.42586821630366717,0.0260568591614169,0.07957967337873814
2001-04-25,0.825203244437692,0.627106366988472,0.0415257644187671,0.416341899963063,0.0234178073510757,0.0768927489458227
2001-04-30,0.8096374955828157,0.597875393454268,0.04149083972964175,0.3984159684112245,0.021643436672267827,0.07754078109180956
2001-05-06,0.78161593080625,0.5563387827464932,0.04274115347140408,0.3737942077002905,0.02066658294362743,0.08148721467833592
2001-05-12,0.7435931357409921,0.5061845470737054,0.0451394520404325,0.3447819285360683,0.02040730209424049,0.0885024719492727
2001-05-18,0.6984644741201409,0.4514978242821856,0.04856717076719004,0.31400864739514367,0.02078433503364764,0.09820023812715498
2001-05-24,0.6492713149060283,0.3963228316303556,0.05293226789061162,0.28412757935509697,0.021722788559789038,0.11007633333987754
2001-05-29,0.598885448652584,0.3442052781007675,0.058162979440454246,0.2574768022946922,0.02315571627412572,0.12356147996306348
2001-06-04,0.5497883829978768,0.2979049689707265,0.06419246981112835,0.23584772668606419,0.02502037112115918,0.1380733558875628
2001-06-10,0.5039482785686681,0.2592497375435074,0.07094599764249833,0.22035917843902117,0.02725424318349895,0.15305196703428736
2001-06-16,0.46272651829787836,0.22904944912951808,0.07832748234428298,0.21137481948518425,0.029790424272281894,0.16799515559785874
2001-06-22,0.4267243653338272,0.2069942562969657,0.08620804077681277,0.20842023271014157,0.03255456263890864,0.18251981601564243
2001-06-28,0.396283797982961,0.19240034761769,0.0944473109047571,0.210740708687293,0.0354696773659327,0.196285828408661
