date,ndvi,evi,red,nir,blue,mir
2001-01-03,0.444967950410115,0.374766005056835,0.127977524042588,0.348767034507488,0.0931126028333047,0.180567671675996
2001-01-11,0.44311958982467486,0.3727575844039585,0.12828512170265896,0.34236421082028473,0.09247093833676046,0.17711373392112353
2001-01-20,0.4528943047935253,0.3868140721218037,0.12639918520131932,0.3443528289553863,0.09042335422512508,0.17207438633500732
2001-01-29,0.47954905797260644,0.42212182637897777,0.12160437335098868,0.35909517081606984,0.08683246838578486,0.1652165788651114
2001-02-06,0.5252049716567443,0.4778213439933965,0.11350006074692098,0.386574055833113,0.0816772100061517,0.1563289273654477
2001-02-15,0.587834621504687,0.5476113457525791,0.10222679044592942,0.4227993528028412,0.07510951840631076,0.14532466065506566
2001-02-24,0.6613212569723727,0.6217219888548638,0.08856983717149404,0.4613187749972771,0.06747995454365656,0.1323994194224809
2001-03-05,0.7367569672306624,0.6896728241770063,0.07386595308255885,0.4952951110615866,0.05930890889238878,0.11815991321888507
2001-03-13,0.8045355419376814,0.7426512648511678,0.0597273678232791,0.5192354316834878,0.051206337631188155,0.10365107280850691
2001-03-22,0.856542712330896,0.7748863054369326,0.04767535195379727,0.5299100336467649,0.04376268987117231,0.09025314846387622
2001-03-31,0.8877056650068627,0.7838838969284608,0.03881748877657129,0.5264160188133048,0.03744683667641247,0.07947347683852109
2001-04-09,0.896453505484532,0.76987088139346,0.0336817637739788,0.509700014461407,0.0325435655971044,0.0726942971625978
2001-04-17,0.8841062361480679,0.7349802022449392,0.0322478419886479,0.48195033295890116,0.02914604377846018,0.07094465402010884
2001-04-26,0.8536429475591288,0.6826004176614213,0.03412781418705604,0.44613079323896665,0.027195803379201054,0.07474466024730077
2001-05-05,0.8084992100289524,0.6170278325356408,0.03878916991312941,0.40568961444019197,0.02654527670177526,0.08404061149786808
2001-05-13,0.7519171467993048,0.5432913448150851,0.04571106331588187,0.36430574237228874,0.02701358372420419,0.09822477900988834
2001-05-22,0.6869897137680677,0.46690921061751117,0.054420475908401586,0.32552583545229186,0.028416797268485273,0.11622585610897798
2001-05-31,0.6171208018429609,0.39341389531868143,0.06443232207379304,0.29227589823430467,0.03057166663067295,0.13665919920275993
2001-06-09,0.546377975615634,0.32766032672225087,0.07517484547920743,0.2663889217463392,0.03328709494925107,0.15802876530309223
2001-06-17,0.4792889084682046,0.2730983287499943,0.08598559951325613,0.24835434047903487,0.036362152924044155,0.17896248398070724
2001-06-26,0.4199404774833143,0.23123039005386997,0.09621951669697684,0.23742069178045377,0.03960288137971567,0.1984488751274781
2001-07-05,0.37079339589385363,0.20146793921652217,0.10541987409401181,0.23200753301277785,0.04285219878988699,0.216002115582154
2001-07-14,0.331634772021193,0.181355567059534,0.113487387628814,0.230252327695981,0.0460231258415498,0.231730119203362
